dataset,cond,metric,method,mean,sd,vs_BTYD_p,n_seeds
Ta-Feng,x>0,CRPS,BTYD,1.2824211311311164,0.02309169671498533,,15
Ta-Feng,x>0,CRPS,PoissonGBM,1.242315913232695,0.017831963702653286,6.103515625e-05,15
Ta-Feng,x>0,CRPS,HurdleGBM,1.2416404175487583,0.019870757018610317,6.103515625e-05,15
Ta-Feng,x>0,CRPS,QuantileGBM,1.2282967876328317,0.01771718294894524,6.103515625e-05,15
Ta-Feng,x>0,cov50,BTYD,0.7010445863430422,0.008858959627285405,,15
Ta-Feng,x>0,cov50,PoissonGBM,0.5298151180067515,0.008159484606738718,6.103515625e-05,15
Ta-Feng,x>0,cov50,HurdleGBM,0.6488689536109149,0.01238833995499962,6.103515625e-05,15
Ta-Feng,x>0,cov50,QuantileGBM,0.7030905664717669,0.025246814201630715,0.97796630859375,15
Ta-Feng,x>0,cov95,BTYD,0.9703199726103097,0.003484038118829514,,15
Ta-Feng,x>0,cov95,PoissonGBM,0.9288184821909812,0.004448726398989235,6.103515625e-05,15
Ta-Feng,x>0,cov95,HurdleGBM,0.9432926106451724,0.005117905799238055,6.103515625e-05,15
Ta-Feng,x>0,cov95,QuantileGBM,0.9663924877252311,0.003164377668512754,0.0028648155524898344,15
Ta-Feng,x>0,nMAE,BTYD,0.5996898573597705,0.006848751947179076,,15
Ta-Feng,x>0,nMAE,PoissonGBM,0.5720043101001586,0.0077899193328492015,6.103515625e-05,15
Ta-Feng,x>0,nMAE,HurdleGBM,0.5810680261915344,0.010503368901221548,6.103515625e-05,15
Ta-Feng,x>0,nMAE,QuantileGBM,0.5711849919803182,0.007291310472585548,6.103515625e-05,15
Ta-Feng,x>0,pit_ks,BTYD,0.08000088174376623,0.009718943259140956,,15
Ta-Feng,x>0,pit_ks,PoissonGBM,0.09032505560107987,0.008395883755718718,0.0301513671875,15
