k,rep,model,cond,n,pit_ks,CRPS,cov50,cov95,mean_true,mean_pred,k_hat,E_lambda_true,E_lambda_pnbd,E_lambda_ggg
1.5,5,GGG,xcal_pos,448,0.02940228202924655,1.0156995918744716,0.8147321428571429,0.9910714285714286,3.497767857142857,3.693080357142857,1.465717175235388,0.24001584498302359,0.233629612814499,0.2576062467859899
1.5,6,PNBD,all,800,0.023195196420512598,0.1599765902366864,0.9525,0.9825,0.335,0.21875,1.4744194699266253,0.06633176488514579,0.054169603052416596,0.059695901466038585
1.5,6,PNBD,xcal_pos,204,0.04675486008566998,0.5697751334261515,0.8725490196078431,0.9803921568627451,1.2549019607843137,0.8578431372549019,1.4744194699266253,0.06633176488514579,0.054169603052416596,0.059695901466038585
1.5,6,GGG,all,800,0.031439936230907906,0.16533439349112428,0.94375,0.97625,0.335,0.1975,1.4744194699266253,0.06633176488514579,0.054169603052416596,0.059695901466038585
1.5,6,GGG,xcal_pos,204,0.0628571749455441,0.5904909212205592,0.8382352941176471,0.9656862745098039,1.2549019607843137,0.7745098039215687,1.4744194699266253,0.06633176488514579,0.054169603052416596,0.059695901466038585
1.5,7,PNBD,all,800,0.03284191638754175,0.5418718565088758,0.8775,0.99,1.9375,1.7175,1.5233302636072807,0.21786906074774914,0.1946828286223569,0.21505256714749127
1.5,7,PNBD,xcal_pos,464,0.034120785898406836,0.9065274625076515,0.8081896551724138,0.9913793103448276,3.3125,2.961206896551724,1.5233302636072807,0.21786906074774914,0.1946828286223569,0.21505256714749127
1.5,7,GGG,all,800,0.026864028271789353,0.5341844674556213,0.86875,0.98,1.9375,1.759375,1.5233302636072807,0.21786906074774914,0.1946828286223569,0.21505256714749127
1.5,7,GGG,xcal_pos,464,0.03345260366809222,0.8936057373495205,0.7931034482758621,0.9762931034482759,3.3125,3.033405172413793,1.5233302636072807,0.21786906074774914,0.1946828286223569,0.21505256714749127
1.5,8,PNBD,all,800,0.033893770250326916,0.42235375369822487,0.89,0.99125,1.0025,0.801875,1.462996656993029,0.08871218018902811,0.07045927516593385,0.08296513043987176
1.5,8,PNBD,xcal_pos,395,0.04004371706901555,0.8054852820013483,0.8202531645569621,0.9898734177215189,1.9797468354430379,1.6240506329113924,1.462996656993029,0.08871218018902811,0.07045927516593385,0.08296513043987176
1.5,8,GGG,all,800,0.03543728002346391,0.4163173446745562,0.8775,0.98625,1.0025,0.86375,1.462996656993029,0.08871218018902811,0.07045927516593385,0.08296513043987176
