dataset,seed,method,cond,metric,value
Ta-Feng,3,BTYD+GG,all,nMAE,1.68610280458438
Ta-Feng,3,BTYD+GG,x>0,CRPS,10417.64789616507
Ta-Feng,3,BTYD+GG,x>0,pit_ks,0.0907244655581948
Ta-Feng,3,BTYD+GG,x>0,cov95,0.9260688836104513
Ta-Feng,3,BTYD+GG,x>0,nMAE,2.0531673312443286
Ta-Feng,3,ZILN,all,CRPS,7235.37327888106
Ta-Feng,3,ZILN,all,pit_ks,0.02144922218960965
Ta-Feng,3,ZILN,all,cov95,0.9772527149985324
Ta-Feng,3,ZILN,all,nMAE,1.7675352567076752
Ta-Feng,3,ZILN,x>0,CRPS,11119.01564072838
Ta-Feng,3,ZILN,x>0,pit_ks,0.030694774346793352
Ta-Feng,3,ZILN,x>0,cov95,0.9792161520190024
Ta-Feng,3,ZILN,x>0,nMAE,2.1788681095906277
Ta-Feng,4,BTYD+GG,all,CRPS,7304.0748068489875
Ta-Feng,4,BTYD+GG,all,pit_ks,0.0784179630173173
Ta-Feng,4,BTYD+GG,all,cov95,0.9411505723510419
Ta-Feng,4,BTYD+GG,all,nMAE,1.308051655095766
Ta-Feng,4,BTYD+GG,x>0,CRPS,12044.918293485176
Ta-Feng,4,BTYD+GG,x>0,pit_ks,0.08831414230882784
Ta-Feng,4,BTYD+GG,x>0,cov95,0.9294360791260703
Ta-Feng,4,BTYD+GG,x>0,nMAE,1.3858731163050726
Ta-Feng,4,ZILN,all,CRPS,6420.316478884919
Ta-Feng,4,ZILN,all,pit_ks,0.018266803639565565
Ta-Feng,4,ZILN,all,cov95,0.976812444966246
Ta-Feng,4,ZILN,all,nMAE,1.01207610104672
Ta-Feng,4,ZILN,x>0,CRPS,10310.208760973597
Ta-Feng,4,ZILN,x>0,pit_ks,0.038065397106583965
Ta-Feng,4,ZILN,x>0,cov95,0.9749040448774727
Ta-Feng,4,ZILN,x>0,nMAE,1.0148212091753386
Ta-Feng,5,BTYD+GG,all,CRPS,6999.040895140234
Ta-Feng,5,BTYD+GG,all,pit_ks,0.0761417669503962
Ta-Feng,5,BTYD+GG,all,cov95,0.9445259759319049
Ta-Feng,5,BTYD+GG,all,nMAE,1.45876106899376
Ta-Feng,5,BTYD+GG,x>0,CRPS,11711.907583781618
Ta-Feng,5,BTYD+GG,x>0,pit_ks,0.0824831427733802
Ta-Feng,5,BTYD+GG,x>0,cov95,0.9296394019349165
Ta-Feng,5,BTYD+GG,x>0,nMAE,1.5796831350303062
Ta-Feng,5,ZILN,all,CRPS,6645.137689071378
Ta-Feng,5,ZILN,all,pit_ks,0.021337687114763693
Ta-Feng,5,ZILN,all,cov95,0.9816554153213971
Ta-Feng,5,ZILN,all,nMAE,1.4983954072150527
Ta-Feng,5,ZILN,x>0,CRPS,11039.67487731132
Ta-Feng,5,ZILN,x>0,pit_ks,0.02593769003142743
Ta-Feng,5,ZILN,x>0,cov95,0.980064497214893
